"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2024","17,340.0","17,600.0","17,600.0","17,300.5","0.02K","-0.91%"
"08/27/2024","17,500.0","17,261.0","17,690.2","17,261.0","0.01K","0.00%"
"08/26/2024","17,500.0","16,499.0","17,606.1","16,499.0","0.06K","0.00%"
"08/23/2024","17,500.0","17,785.0","17,785.0","17,255.0","0.06K","-1.69%"
"08/22/2024","17,800.0","17,820.0","17,950.0","17,711.0","0.05K","0.00%"
"08/21/2024","17,800.0","17,800.0","18,000.0","17,600.0","0.19K","1.14%"
"08/20/2024","17,600.0","17,800.0","17,800.0","17,500.0","0.39K","0.01%"
"08/19/2024","17,599.0","17,989.0","17,989.0","17,499.0","0.22K","-1.68%"
"08/16/2024","17,900.0","17,650.0","17,999.0","16,701.0","0.17K","1.70%"
"08/15/2024","17,601.0","17,620.0","17,995.0","17,500.0","0.03K","-0.11%"
"08/13/2024","17,620.0","17,550.0","17,940.0","17,550.0","0.01K","-1.80%"
"08/12/2024","17,943.0","17,500.0","17,945.0","17,500.0","0.01K","0.86%"
"08/09/2024","17,790.0","17,800.0","18,100.0","17,700.0","0.01K","-0.05%"
"08/08/2024","17,799.1","17,799.1","17,799.1","17,799.1","0.00K","-0.01%"
"08/07/2024","17,800.0","17,800.0","17,800.0","17,602.0","0.04K","0.56%"
"08/06/2024","17,700.0","17,500.0","17,700.0","17,500.0","0.01K","-0.84%"
"08/05/2024","17,850.0","17,500.0","18,000.0","17,500.0","0.02K","-0.83%"
"08/02/2024","18,000.0","18,100.0","18,200.0","17,100.0","0.04K","0.00%"
"08/01/2024","18,000.0","17,990.0","18,000.0","17,990.0","0.13K","0.00%"
"07/31/2024","18,000.0","18,065.0","18,065.0","18,000.0","0.43K","-1.64%"
"07/30/2024","18,300.0","18,450.0","18,450.0","18,151.7","0.03K","0.05%"
"07/29/2024","18,290.0","18,004.0","18,300.0","18,004.0","0.03K","0.77%"
"07/26/2024","18,150.0","18,150.0","18,250.0","18,000.0","0.06K","-0.14%"
"07/25/2024","18,175.0","19,499.8","19,499.8","18,175.0","0.02K","-0.62%"
"07/24/2024","18,289.0","18,300.0","18,375.0","18,200.0","0.01K","0.49%"
"07/23/2024","18,200.0","17,500.0","18,599.8","17,500.0","0.02K","0.55%"
"07/22/2024","18,100.0","18,100.0","18,400.0","18,100.0","0.08K","-0.88%"
"07/19/2024","18,260.0","18,250.0","18,300.0","18,025.1","0.12K","0.33%"
"07/18/2024","18,200.0","18,200.0","18,300.0","18,050.0","0.03K","-0.26%"
"07/15/2024","18,247.6","19,920.5","19,920.5","18,100.0","0.42K","-1.22%"
